recipient_iso3,total_killings,mean_killings,total_pred,mean_pred,mean_residual,mean_p_any,colonial_tie,n_years
KHM,13,0.40625,6.37797772288005,0.19931180384000155,0.20693819615999845,0.11549957563029038,1,32
MMR,13,0.40625,33.35145456066274,1.0422329550207106,-0.6359829550207106,0.3161273933976525,1,32
EGY,12,0.375,32.795645805044515,1.024863931407641,-0.649863931407641,0.38547781490947486,1,32
LBN,12,0.3870967741935484,7.128717072168789,0.22995861523125127,0.15713815896229713,0.09332129086670363,1,31
SRB,11,0.36666666666666664,8.62637230615355,0.2875457435384517,0.07912092312821496,0.08126143956578516,0,30
AGO,10,0.3125,24.943321895842054,0.7794788092450642,-0.46697880924506424,0.244257057914353,1,32
GEO,10,0.3125,3.2832630276795323,0.10260196961498538,0.20989803038501462,0.04978017986052571,0,32
PRY,10,0.3125,3.0341257923007268,0.09481643100939771,0.2176835689906023,0.05566788164548265,1,32
FRA,10,0.3125,9.67987943460283,0.30249623233133843,0.010003767668661562,0.10645352792106647,0,32
VEN,9,0.28125,5.908422915823387,0.18463821611948084,0.09661178388051916,0.10637251963666078,1,32
SSD,8,1.1428571428571428,3.8466381683728117,0.549519738338973,0.5933374045181699,0.12103282039213843,0,7
SDN,8,0.25,90.99849081171058,2.8437028378659557,-2.5937028378659557,0.5208062857033902,1,32
AZE,7,0.21875,7.078231157926397,0.2211947236851999,-0.0024447236851999118,0.10049846225705057,0,32
KEN,6,0.1875,21.296113353706822,0.6655035423033382,-0.47800354230333825,0.26420260383223215,1,32
IRN,6,0.1875,14.47194568855139,0.45224830276723094,-0.26474830276723094,0.24915740452671312,0,32
DOM,6,0.1875,5.353395925802972,0.16729362268134287,0.020206377318657126,0.0831134510131629,1,32
BLR,6,0.1935483870967742,2.1782934810589714,0.07026753164706359,0.1232808554497106,0.04742981998009151,0,31
SLV,6,0.1875,4.155264116259278,0.12985200363310243,0.05764799636689757,0.07026156953743959,1,32
CIV,6,0.1875,4.5293139444445165,0.14154106076389114,0.04595893923610886,0.11578673849544631,0,32
ETH,5,0.15625,29.843276651953154,0.9326023953735361,-0.7763523953735361,0.36322766772306603,0,32
UGA,5,0.15625,27.137601276680407,0.8480500398962627,-0.6918000398962627,0.3110085035515248,1,32
CHN,5,0.15625,20.141592670096287,0.629424770940509,-0.47317477094050897,0.3547646559500971,0,32
CAF,5,0.15625,4.610610501470069,0.14408157817093967,0.012168421829060328,0.0936746488259439,1,32
ZAF,5,0.15625,4.44362349074619,0.13886323408581844,0.01738676591418157,0.08328952850732359,1,32
KAZ,4,0.125,3.0329783319341215,0.0947805728729413,0.030219427127058707,0.06957700176971761,0,32
ECU,4,0.125,6.872644038276353,0.21477012619613603,-0.08977012619613603,0.10766657595303653,1,32
ARG,4,0.125,12.586431750394041,0.3933259921998138,-0.2683259921998138,0.1744877406336896,1,32
GBR,4,0.125,18.27068131810932,0.5709587911909163,-0.4459587911909163,0.11387699230565615,0,32
GIN,4,0.125,3.1882992898631066,0.09963435280822208,0.02536564719177791,0.07010290985049836,1,32
CMR,4,0.125,12.995001772323187,0.4060938053850996,-0.2810938053850996,0.1865754598775608,1,32
MOZ,4,0.125,12.033185935840923,0.37603706049502883,-0.25103706049502883,0.19211948081848265,1,32
BDI,4,0.125,10.430694752055803,0.32595921100174385,-0.20095921100174388,0.15845647494146475,1,32
BFA,3,0.09375,19.69337261662774,0.6154178942696169,-0.5216678942696169,0.16296054401347937,1,32
