Source,Target,Year,Weight,Type,Layer
BLR,IRN,2000,8.32,Directed,Arms
BLR,IRN,2001,14.56,Directed,Arms
BLR,IRN,2002,15.6,Directed,Arms
BLR,IRN,2011,15.0,Directed,Arms
BLR,IRQ,2015,13.8,Directed,Arms
BLR,IRQ,2016,27.6,Directed,Arms
BLR,KGZ,2023,30.0,Directed,Arms
BLR,MAR,1999,51.48,Directed,Arms
BLR,MAR,2000,120.12,Directed,Arms
BLR,MMR,2015,6.0,Directed,Arms
BLR,MMR,2016,51.0,Directed,Arms
BLR,MMR,2019,7.2,Directed,Arms
BLR,NGA,2010,7.2,Directed,Arms
BLR,NPL,2003,5.8,Directed,Arms
BLR,PAK,1997,12.8,Directed,Arms
BLR,PAK,1998,12.8,Directed,Arms
BLR,PAK,1999,12.8,Directed,Arms
BLR,PER,1997,353.07,Directed,Arms
BLR,PER,1998,15.75,Directed,Arms
BLR,PER,2002,2.07,Directed,Arms
BLR,RWA,1998,6.8,Directed,Arms
BLR,RWA,1999,6.8,Directed,Arms
BLR,SDN,1996,24.9,Directed,Arms
BLR,SDN,1999,24.0,Directed,Arms
BLR,SDN,2001,12.0,Directed,Arms
BLR,SDN,2002,2.56,Directed,Arms
BLR,SDN,2003,13.26,Directed,Arms
BLR,SDN,2007,0.36,Directed,Arms
BLR,SDN,2008,50.6,Directed,Arms
BLR,SDN,2009,13.8,Directed,Arms
BLR,SDN,2010,4.6,Directed,Arms
BLR,SDN,2013,66.2,Directed,Arms
BLR,SDN,2014,8.2,Directed,Arms
BLR,SDN,2015,38.22,Directed,Arms
BLR,SDN,2016,38.1,Directed,Arms
BLR,SDN,2017,0.43,Directed,Arms
BLR,SDN,2018,1.07,Directed,Arms
BLR,SDN,2019,18.4,Directed,Arms
BLR,SDN,2022,0.8,Directed,Arms
BLR,SDN,2023,0.22,Directed,Arms
BLR,SLE,1995,6.8,Directed,Arms
BLR,SLE,1997,6.8,Directed,Arms
BLR,SRB,2021,54.52,Directed,Arms
BLR,SYR,2003,24.0,Directed,Arms
BLR,SYR,2008,171.6,Directed,Arms
BLR,TKM,2011,2.0,Directed,Arms
BLR,TKM,2016,1.44,Directed,Arms
BLR,TKM,2017,0.96,Directed,Arms
BLR,UGA,1998,7.2,Directed,Arms
BLR,UGA,2000,6.0,Directed,Arms
BLR,UGA,2004,10.2,Directed,Arms
BLR,UGA,2010,3.4,Directed,Arms
BLR,UGA,2018,3.6,Directed,Arms
BLR,UGA,2019,22.43,Directed,Arms
