iso3,year,gdp_per_capita,gdp_per_capita_log,population,population_log,v2x_polyarchy,armed_conflict,conflict_intensity
MMR,1998,145.950830383757,4.98326978679238,44257793.0,17.60554202690649,0.094,1,1
MMR,1999,189.490155849067,5.244337075147104,44787724.0,17.617444641978317,0.094,1,1
MMR,2000,196.619580625284,5.281270799016577,45290841.0,17.62861538458057,0.094,1,1
MMR,2001,141.525660705722,4.952481048385397,45771139.0,17.639164297616237,0.094,1,1
MMR,2002,146.598390364449,4.987696809613617,46232653.0,17.649196881295993,0.094,1,1
MMR,2003,224.292688912409,5.4129518458652335,46667192.0,17.658551948984964,0.094,1,1
MMR,2004,224.508811413327,5.413914955469221,47068772.0,17.667120324233096,0.094,1,1
MMR,2005,252.685193060728,5.532144417745574,47438365.0,17.67494184747298,0.094,1,1
MMR,2006,303.495087119254,5.715365422952568,47785135.0,17.682225165832765,0.095,1,1
MMR,2007,419.375780725042,6.038767369363658,48125043.0,17.689313244078317,0.095,1,1
MMR,2008,658.442487229705,6.489877178310143,48390793.0,17.694820126318632,0.095,1,1
MMR,2009,758.442935789255,6.6312675629844895,48660459.0,17.700377328074175,0.097,1,1
MMR,2010,1010.53417343401,6.918234354613274,49024382.0,17.70782832415387,0.118,1,1
MMR,2011,1213.62898703376,7.10137031291203,49419820.0,17.715862116268003,0.22,1,1
MMR,2012,1202.6658960055,7.092295951720546,49837446.0,17.724277187149717,0.3,1,1
MMR,2013,1199.09561597055,7.089322898278754,50262658.0,17.732772973679367,0.355,1,1
MMR,2014,1293.00042319714,7.164720706070443,50681634.0,17.741074154412857,0.352,1,1
MMR,2015,1166.73305547935,7.06196286188697,51089056.0,17.749080863939174,0.366,1,1
MMR,2016,1229.19713491328,7.114116499398813,51495696.0,17.75700878932603,0.399,1,1
MMR,2017,1272.82241815234,7.148992090124547,51894938.0,17.764731809660706,0.4,1,1
MMR,2018,1298.21310327675,7.168744061967587,52272247.0,17.77197613809496,0.395,1,1
MMR,2019,1425.98954241668,7.262621267438711,52640713.0,17.779000389722434,0.422,1,1
MMR,2020,1490.21683599469,7.306676915864618,53016522.0,17.786114158785928,0.427,1,1
MMR,2021,1242.7213439951,7.125058886165458,53387102.0,17.793079739175482,0.107,1,1
MMR,2022,1158.05005055976,7.054492878753113,53756787.0,17.79998048676813,0.092,1,2
MMR,2023,1233.19666209269,7.1173649893043835,54133798.0,17.806969280730744,0.08,1,2
MMR,2024,1359.05001560107,7.214541216712384,54500091.0,17.81371292935685,0.083,1,2
MNA,1992,1022.14274575119,6.929656433956662,381995940.0,19.760920538242118,,0,0
MNA,1993,877.444978569883,6.777014250889674,392371485.0,19.787719614819302,,0,0
MNA,1994,899.269793129222,6.80158309304156,402475400.0,19.813144534942687,,0,0
MNA,1995,977.954473374118,6.8854631182090875,412447289.0,19.837618971331484,,0,0
MNA,1996,1058.06607840369,6.964198066426071,422368926.0,19.861389722309355,,0,0
MNA,1997,1077.33623074357,6.982246820397078,432334916.0,19.884711114361497,,0,0
MNA,1998,1075.35859706641,6.9804094636031975,442475967.0,19.907896709072908,,0,0
MNA,1999,1137.92232755084,7.036959358886638,452793419.0,19.930946550737026,,0,0
MNA,2000,1247.47238123443,7.128874688089558,462980522.0,19.95319554205111,,0,0
MNA,2001,1226.50991412098,7.111927946927986,473223662.0,19.97507869304488,,0,0
MNA,2002,1168.28204981285,7.06328961524048,483540516.0,19.996645666658097,,0,0
MNA,2003,1263.87606211705,7.141938517776792,494288606.0,20.018630127232637,,0,0
MNA,2004,1463.04148806759,7.2882727588323855,505618583.0,20.04129315447276,,0,0
MNA,2005,1657.11024431574,7.412830547691191,517240777.0,20.064019043594804,,0,0
MNA,2006,1883.1206783718,7.540685614958228,529158464.0,20.086798498840505,,0,0
MNA,2007,2237.26188319836,7.713008023568968,540838105.0,20.108630540639805,,0,0
MNA,2008,2652.79039146265,7.883367342898322,552681993.0,20.130293336211235,,0,0
MNA,2009,2510.74762666028,7.82833584700178,565038251.0,20.15240398770407,,0,0
MNA,2010,2816.19347268465,7.94314141970645,577396038.0,20.174038963375317,,0,0
MNA,2011,3232.55085445141,8.08102684275781,589646039.0,20.195032980933384,,0,0
MNA,2012,3412.57302470262,8.135221838444512,601566988.0,20.215048455424075,,0,0
MNA,2013,3148.36412420635,8.05463827127463,613151287.0,20.23412226116709,,0,0
MNA,2014,3073.79994256301,8.030669841487223,624564062.0,20.25256446353382,,0,0
MNA,2015,2802.63134980954,7.93831402264713,635352686.0,20.269690813696972,,0,0
MNA,2016,2863.14057781135,7.959674405468414,645837915.0,20.286059124692052,,0,0
MNA,2017,2859.85560174494,7.95852641363892,656767614.0,20.302840806116983,,0,0
MNA,2018,2809.30894215325,7.940693804023185,668447432.0,20.320468315662637,,0,0
MNA,2019,2695.63342343004,7.899388492249547,680490997.0,20.33832514999032,,0,0
MNA,2020,2408.49731335268,7.786758310583949,692532027.0,20.355865043331796,,0,0
MNA,2021,2753.47858029524,7.920620329589381,704458802.0,20.372940409239643,,0,0
MNA,2022,3015.7557973385,8.011605756797454,716508657.0,20.38990088750424,,0,0
MNA,2023,2873.03929302735,7.963125735539907,729077445.0,20.407290518898343,,0,0
MNA,2024,2971.05462651558,7.996672261868999,741690916.0,20.42444315909235,,0,0
MNE,1992,,,608516.0,13.318778485230016,,0,0
MNE,1993,,,610170.0,13.32149288584765,,0,0
MNE,1994,,,611389.0,13.323488696782093,,0,0
MNE,1995,,,611712.0,13.324016862497775,,0,0
MNE,1996,,,611003.0,13.322857148125312,,0,0
MNE,1997,1375.32616813442,7.226446195158741,609520.0,13.32042704114689,,0,0
MNE,1998,1405.81632669854,7.2483734284875245,607662.0,13.317374085314272,0.347,0,0
MNE,1999,1367.90257335097,7.221033877335657,606001.0,13.314636915215106,0.423,0,0
MNE,2000,1627.06511911987,7.39453313046227,604950.0,13.312901088969625,0.423,0,0
MNE,2001,1909.59870186179,7.554648395228511,607389.0,13.316924721452846,0.446,0,0
MNE,2002,2106.6350684523,7.6528471992079155,609828.0,13.320932229176151,0.47,0,0
MNE,2003,2789.15906483509,7.9334954189287785,612267.0,13.324923740864213,0.484,0,0
MNE,2004,3380.16512135859,8.125679839756778,613353.0,13.326695905620372,0.498,0,0
MNE,2005,3674.6179242797,8.209204440059684,614261.0,13.328175198240986,0.5,0,0
MNE,2006,4418.84951521682,8.393634650515319,615025.0,13.329418196368954,0.496,0,0
MNE,2007,5971.84638953467,8.69481143654908,615875.0,13.330799299846264,0.481,0,0
MNE,2008,7359.95118960869,8.903808579854285,616969.0,13.332574058513465,0.492,0,0
MNE,2009,6700.11405052395,8.809879827700438,618294.0,13.334719351472405,0.495,0,0
MNE,2010,6678.63930800758,8.80666954937571,619428.0,13.336551750536655,0.498,0,0
MNE,2011,7265.51668681954,8.890894693478165,620345.0,13.338031053872388,0.498,0,0
MNE,2012,6552.48071710904,8.78759899236363,621418.0,13.339759242370604,0.502,0,0
MNE,2013,7102.77882895852,8.86824137081888,622587.0,13.34163865659176,0.476,0,0
MNE,2014,7342.17339453427,8.901390180576364,623744.0,13.343495306763124,0.466,0,0
MNE,2015,6421.00307345999,8.767329626451462,624651.0,13.344948372755196,0.466,0,0
MNE,2016,6968.01539365317,8.849085727722374,625353.0,13.34607156927905,0.464,0,0
MNE,2017,7674.2813940676,8.945629938634442,625982.0,13.34707689567522,0.454,0,0
MNE,2018,8673.59128084795,9.068038203253764,626438.0,13.347805085931126,0.463,0,0
MNE,2019,8749.02375172644,9.076697401895863,626753.0,13.34830780260661,0.461,0,0
MNE,2020,7538.53635992191,8.92778332543768,626590.0,13.34804769822829,0.479,0,0
MNE,2021,9317.15520065156,9.13961262510406,625053.0,13.345591725123223,0.519,0,0
MNE,2022,10024.5435616209,9.21279172112537,623591.0,13.343249983733196,0.515,0,0
MNE,2023,12259.8775034436,9.414087217877775,623529.0,13.343150554648503,0.587,0,0
MNE,2024,13263.3281277699,9.492758222275022,623525.0,13.34314413952935,0.615,0,0
MNG,1992,607.813424662797,6.409867967541827,2167790.0,14.58921877338147,0.673,0,0
MNG,1993,354.898613087701,5.871832151748791,2165130.0,14.587990963805403,0.703,0,0
MNG,1994,422.864349383041,6.047051440577466,2189395.0,14.599135807919284,0.703,0,0
MNG,1995,652.67456284915,6.4810786326880025,2224945.0,14.615242754175831,0.703,0,0
MNG,1996,595.5810149554,6.389537424807192,2259507.0,14.63065720585921,0.7,0,0
MNG,1997,515.298004947316,6.244745383693298,2291750.0,14.644826275824022,0.708,0,0
MNG,1998,483.878066074871,6.181832945379666,2323809.0,14.658718207690091,0.708,0,0
MNG,1999,448.660368337533,6.106266183557347,2356813.0,14.672820840629125,0.708,0,0
MNG,2000,476.02755082717,6.165475732445456,2388299.0,14.686091955036824,0.679,0,0
MNG,2001,524.453483552485,6.262356736682216,2417751.0,14.698348327186817,0.662,0,0
MNG,2002,570.249213248399,6.346073481502693,2449027.0,14.711201360781656,0.667,0,0
MNG,2003,643.168068921658,6.466406072542986,2480374.0,14.723919913222629,0.668,0,0
MNG,2004,794.154552001815,6.6772780921816475,2508412.0,14.735160441565569,0.672,0,0
MNG,2005,994.90010913241,6.902642339287146,2536407.0,14.746259070621269,0.675,0,0
MNG,2006,1329.89179579053,7.192852861357703,2567168.0,14.758313903757747,0.686,0,0
MNG,2007,1627.68787743359,7.394915806703435,2601850.0,14.771733288429775,0.686,0,0
MNG,2008,2127.42678594737,7.662668446669657,2643201.0,14.787501240638022,0.657,0,0
MNG,2009,1703.32756790019,7.440339009729503,2691115.0,14.805466163838663,0.661,0,0
