donor,recipient,year,aid_amount,recipient_iso3
African Development Bank (AFDB),Tunisia,2005,315460163,TUN
African Development Bank (AFDB),Tunisia,2006,26330732,TUN
African Development Bank (AFDB),Tunisia,2007,152651087,TUN
African Development Bank (AFDB),Tunisia,2008,466910652,TUN
African Development Bank (AFDB),Tunisia,2009,467043320,TUN
African Development Bank (AFDB),Tunisia,2010,486604575,TUN
African Development Bank (AFDB),Tunisia,2012,594801,TUN
African Development Bank (AFDB),Tunisia,2013,31768473,TUN
African Development Bank (AFDB),Uganda,1990,46476535,UGA
African Development Bank (AFDB),Uganda,1991,33873343,UGA
African Development Bank (AFDB),Uganda,1996,8064732,UGA
African Development Bank (AFDB),Uganda,2000,12538838,UGA
African Development Bank (AFDB),Uganda,2001,88729006,UGA
African Development Bank (AFDB),Uganda,2002,16957514,UGA
African Development Bank (AFDB),Uganda,2007,125476412,UGA
African Development Bank (AFDB),Uganda,2008,9099093,UGA
African Development Bank (AFDB),Uganda,2013,293492,UGA
African Development Bank (AFDB),Zambia,1990,114680849,ZMB
African Development Bank (AFDB),Zambia,1991,22582229,ZMB
African Development Bank (AFDB),Zambia,1995,14491406,ZMB
African Development Bank (AFDB),Zambia,1998,3066126,ZMB
African Development Bank (AFDB),Zambia,2000,7702139,ZMB
African Development Bank (AFDB),Zambia,2001,187752538,ZMB
African Development Bank (AFDB),Zambia,2005,116120731,ZMB
African Development Bank (AFDB),Zambia,2006,51642557,ZMB
African Development Bank (AFDB),Zambia,2008,14713779,ZMB
African Development Bank (AFDB),Zambia,2009,557069,ZMB
African Development Bank (AFDB),Zambia,2010,1082802,ZMB
African Development Bank (AFDB),Zambia,2012,517158,ZMB
African Development Bank (AFDB),Zambia,2013,97269,ZMB
African Development Bank (AFDB),Zimbabwe,1990,284994110,ZWE
African Development Bank (AFDB),Zimbabwe,1991,282277861,ZWE
African Development Bank (AFDB),Zimbabwe,1993,157285275,ZWE
African Development Bank (AFDB),Zimbabwe,1995,3478733,ZWE
African Development Bank (AFDB),Zimbabwe,1997,157912605,ZWE
African Development Bank (AFDB),Zimbabwe,1999,241951562,ZWE
African Development Bank (AFDB),Zimbabwe,2000,751924,ZWE
African Development Bank (AFDB),Zimbabwe,2009,2177633,ZWE
African Development Bank (AFDB),Zimbabwe,2010,1066396,ZWE
African Development Fund (AFDF),Algeria,1992,3230766,DZA
African Development Fund (AFDF),Algeria,1993,1456736,DZA
African Development Fund (AFDF),Angola,1990,92465065,AGO
African Development Fund (AFDF),Angola,1991,13888071,AGO
African Development Fund (AFDF),Angola,1992,31463956,AGO
African Development Fund (AFDF),Angola,2001,19669897,AGO
African Development Fund (AFDF),Angola,2002,28723518,AGO
African Development Fund (AFDF),Angola,2003,9409429,AGO
African Development Fund (AFDF),Angola,2005,29863585,AGO
African Development Fund (AFDF),Angola,2007,31121349,AGO
African Development Fund (AFDF),Angola,2009,20257057,AGO
African Development Fund (AFDF),Angola,2013,29878018,AGO
African Development Fund (AFDF),Benin,1990,76291232,BEN
African Development Fund (AFDF),Benin,1991,63004418,BEN
African Development Fund (AFDF),Benin,1992,34777034,BEN
African Development Fund (AFDF),Benin,1993,17016367,BEN
African Development Fund (AFDF),Benin,1996,24014092,BEN
African Development Fund (AFDF),Benin,1997,36215872,BEN
African Development Fund (AFDF),Benin,1999,25369558,BEN
African Development Fund (AFDF),Benin,2000,127908342,BEN
African Development Fund (AFDF),Benin,2001,70570607,BEN
African Development Fund (AFDF),Benin,2002,41085269,BEN
African Development Fund (AFDF),Benin,2003,97142704,BEN
African Development Fund (AFDF),Benin,2004,41203474,BEN
African Development Fund (AFDF),Benin,2005,103307170,BEN
African Development Fund (AFDF),Benin,2006,26813373,BEN
African Development Fund (AFDF),Benin,2008,41284453,BEN
African Development Fund (AFDF),Benin,2009,37137937,BEN
African Development Fund (AFDF),Benin,2010,55255705,BEN
African Development Fund (AFDF),Benin,2012,46958010,BEN
African Development Fund (AFDF),Benin,2013,663291,BEN
African Development Fund (AFDF),Botswana,1990,16429455,BWA
African Development Fund (AFDF),Botswana,1991,25969563,BWA
African Development Fund (AFDF),Burkina Faso,1990,7227101,BFA
African Development Fund (AFDF),Burkina Faso,1991,119211586,BFA
African Development Fund (AFDF),Burkina Faso,1992,23664846,BFA
African Development Fund (AFDF),Burkina Faso,1993,40007463,BFA
African Development Fund (AFDF),Burkina Faso,1997,66690950,BFA
African Development Fund (AFDF),Burkina Faso,1998,33813758,BFA
African Development Fund (AFDF),Burkina Faso,1999,20676086,BFA
African Development Fund (AFDF),Burkina Faso,2000,158533998,BFA
African Development Fund (AFDF),Burkina Faso,2001,123922394,BFA
African Development Fund (AFDF),Burkina Faso,2002,115574926,BFA
African Development Fund (AFDF),Burkina Faso,2003,160549657,BFA
African Development Fund (AFDF),Burkina Faso,2004,76839437,BFA
African Development Fund (AFDF),Burkina Faso,2005,98063680,BFA
African Development Fund (AFDF),Burkina Faso,2006,4397393,BFA
African Development Fund (AFDF),Burkina Faso,2007,52158686,BFA
African Development Fund (AFDF),Burkina Faso,2008,75121191,BFA
African Development Fund (AFDF),Burkina Faso,2009,104661459,BFA
African Development Fund (AFDF),Burkina Faso,2010,57667400,BFA
African Development Fund (AFDF),Burkina Faso,2012,33700198,BFA
African Development Fund (AFDF),Burkina Faso,2013,49328608,BFA
African Development Fund (AFDF),Burundi,1990,73339971,BDI
African Development Fund (AFDF),Burundi,1991,41777123,BDI
African Development Fund (AFDF),Burundi,1992,46506566,BDI
African Development Fund (AFDF),Burundi,1993,39078531,BDI
African Development Fund (AFDF),Burundi,1998,18547904,BDI
African Development Fund (AFDF),Burundi,2004,54627581,BDI
African Development Fund (AFDF),Burundi,2005,291760284,BDI
African Development Fund (AFDF),Burundi,2006,29137199,BDI
African Development Fund (AFDF),Burundi,2007,12726719,BDI
African Development Fund (AFDF),Burundi,2008,19816538,BDI
African Development Fund (AFDF),Burundi,2009,289270767,BDI
African Development Fund (AFDF),Burundi,2010,55944761,BDI
African Development Fund (AFDF),Burundi,2012,84524418,BDI
African Development Fund (AFDF),Burundi,2013,17970321,BDI
African Development Fund (AFDF),Cameroon,1990,7366531,CMR
African Development Fund (AFDF),Cameroon,1991,1242023,CMR
African Development Fund (AFDF),Cameroon,1997,59850851,CMR
African Development Fund (AFDF),Cameroon,1999,45384009,CMR
African Development Fund (AFDF),Cameroon,2000,59706818,CMR
African Development Fund (AFDF),Cameroon,2001,108521456,CMR
African Development Fund (AFDF),Cameroon,2002,851067,CMR
African Development Fund (AFDF),Cameroon,2003,94500747,CMR
African Development Fund (AFDF),Cameroon,2004,23530986,CMR
African Development Fund (AFDF),Cameroon,2005,44448127,CMR
African Development Fund (AFDF),Cameroon,2006,141896371,CMR
African Development Fund (AFDF),Cameroon,2009,73195498,CMR
African Development Fund (AFDF),Cameroon,2010,79799213,CMR
African Development Fund (AFDF),Cameroon,2012,70327446,CMR
African Development Fund (AFDF),Cameroon,2013,122664206,CMR
African Development Fund (AFDF),Cape Verde,1990,58769577,CPV
African Development Fund (AFDF),Cape Verde,1991,34618556,CPV
African Development Fund (AFDF),Cape Verde,1993,14630697,CPV
African Development Fund (AFDF),Cape Verde,1997,17242745,CPV
African Development Fund (AFDF),Cape Verde,1998,6477731,CPV
African Development Fund (AFDF),Cape Verde,1999,268789,CPV
African Development Fund (AFDF),Cape Verde,2000,11664981,CPV
African Development Fund (AFDF),Cape Verde,2002,18000071,CPV
African Development Fund (AFDF),Cape Verde,2004,6789650,CPV
African Development Fund (AFDF),Cape Verde,2006,7400491,CPV
African Development Fund (AFDF),Cape Verde,2007,8380162,CPV
African Development Fund (AFDF),Cape Verde,2008,8256891,CPV
African Development Fund (AFDF),Cape Verde,2010,11566292,CPV
African Development Fund (AFDF),Central African Republic,1991,40648012,CAF
African Development Fund (AFDF),Central African Republic,1992,20578127,CAF
African Development Fund (AFDF),Central African Republic,1993,1435624,CAF
African Development Fund (AFDF),Central African Republic,2006,33731223,CAF
African Development Fund (AFDF),Central African Republic,2007,71457400,CAF
African Development Fund (AFDF),Central African Republic,2008,10733958,CAF
African Development Fund (AFDF),Central African Republic,2009,148264773,CAF
African Development Fund (AFDF),Central African Republic,2012,43627122,CAF
African Development Fund (AFDF),Central African Republic,2013,2013783,CAF
African Development Fund (AFDF),Chad,1990,24493134,TCD
African Development Fund (AFDF),Chad,1991,59617084,TCD
African Development Fund (AFDF),Chad,1993,60866235,TCD
African Development Fund (AFDF),Chad,1997,75770364,TCD
African Development Fund (AFDF),Chad,1999,43626542,TCD
African Development Fund (AFDF),Chad,2000,24386719,TCD
African Development Fund (AFDF),Chad,2001,127108796,TCD
African Development Fund (AFDF),Chad,2002,51638503,TCD
African Development Fund (AFDF),Chad,2003,4714876,TCD
African Development Fund (AFDF),Chad,2004,4655760,TCD
African Development Fund (AFDF),Chad,2005,64519235,TCD
African Development Fund (AFDF),Chad,2006,23238257,TCD
African Development Fund (AFDF),Chad,2009,53360463,TCD
African Development Fund (AFDF),Chad,2012,29129619,TCD
African Development Fund (AFDF),Chad,2013,4922454,TCD
African Development Fund (AFDF),Comoros,1991,95048601,COM
African Development Fund (AFDF),Comoros,1992,2325328,COM
African Development Fund (AFDF),Comoros,2007,27817966,COM
African Development Fund (AFDF),Comoros,2009,29136399,COM
African Development Fund (AFDF),Comoros,2010,38587119,COM
African Development Fund (AFDF),Comoros,2013,22976199,COM
African Development Fund (AFDF),"Congo, Democratic Republic of",1990,4113173,COD
African Development Fund (AFDF),"Congo, Democratic Republic of",1991,15084929,COD
African Development Fund (AFDF),"Congo, Democratic Republic of",2001,4023852,COD
African Development Fund (AFDF),"Congo, Democratic Republic of",2002,167021939,COD
African Development Fund (AFDF),"Congo, Democratic Republic of",2003,96533022,COD
African Development Fund (AFDF),"Congo, Democratic Republic of",2004,262856440,COD
African Development Fund (AFDF),"Congo, Democratic Republic of",2005,151835497,COD
African Development Fund (AFDF),"Congo, Democratic Republic of",2007,211120974,COD
African Development Fund (AFDF),"Congo, Democratic Republic of",2009,131248846,COD
African Development Fund (AFDF),"Congo, Democratic Republic of",2010,115466049,COD
African Development Fund (AFDF),"Congo, Democratic Republic of",2012,176890824,COD
African Development Fund (AFDF),"Congo, Democratic Republic of",2013,7521785,COD
African Development Fund (AFDF),"Congo, Republic of",1990,12130376,COG
African Development Fund (AFDF),"Congo, Republic of",2003,1016137,COG
African Development Fund (AFDF),"Congo, Republic of",2004,78177968,COG
African Development Fund (AFDF),"Congo, Republic of",2006,34160237,COG
African Development Fund (AFDF),"Congo, Republic of",2008,1651378,COG
African Development Fund (AFDF),"Congo, Republic of",2010,8449135,COG
African Development Fund (AFDF),"Congo, Republic of",2013,18294986,COG
African Development Fund (AFDF),Cote d`Ivoire,1990,18590614,CIV
African Development Fund (AFDF),Cote d`Ivoire,1991,19194895,CIV
African Development Fund (AFDF),Cote d`Ivoire,1992,16462501,CIV
African Development Fund (AFDF),Cote d`Ivoire,1993,29556964,CIV
African Development Fund (AFDF),Cote d`Ivoire,1996,58034055,CIV
African Development Fund (AFDF),Cote d`Ivoire,1997,7002956,CIV
African Development Fund (AFDF),Cote d`Ivoire,1998,43184876,CIV
African Development Fund (AFDF),Cote d`Ivoire,1999,66101448,CIV
African Development Fund (AFDF),Cote d`Ivoire,2000,58243615,CIV
African Development Fund (AFDF),Cote d`Ivoire,2002,177192192,CIV
African Development Fund (AFDF),Cote d`Ivoire,2007,34772457,CIV
African Development Fund (AFDF),Cote d`Ivoire,2009,583234419,CIV
African Development Fund (AFDF),Cote d`Ivoire,2010,37734003,CIV
African Development Fund (AFDF),Cote d`Ivoire,2012,33809767,CIV
African Development Fund (AFDF),Cote d`Ivoire,2013,28134634,CIV
African Development Fund (AFDF),Djibouti,1990,5623661,DJI
African Development Fund (AFDF),Djibouti,1991,35137948,DJI
African Development Fund (AFDF),Djibouti,1992,18108752,DJI
African Development Fund (AFDF),Djibouti,1998,15222668,DJI
African Development Fund (AFDF),Djibouti,2000,894180,DJI
African Development Fund (AFDF),Djibouti,2001,6944720,DJI
African Development Fund (AFDF),Djibouti,2002,13659629,DJI
African Development Fund (AFDF),Djibouti,2004,9699500,DJI
African Development Fund (AFDF),Djibouti,2007,11301049,DJI
African Development Fund (AFDF),Djibouti,2008,9611021,DJI
African Development Fund (AFDF),Djibouti,2013,14431085,DJI
African Development Fund (AFDF),Egypt,1992,56384068,EGY
African Development Fund (AFDF),Egypt,1993,80563839,EGY
African Development Fund (AFDF),Egypt,1997,58466546,EGY
African Development Fund (AFDF),Egypt,1998,25910925,EGY
African Development Fund (AFDF),Egypt,1999,14473260,EGY
African Development Fund (AFDF),Equatorial Guinea,1990,1068960,GNQ
African Development Fund (AFDF),Equatorial Guinea,1991,3635738,GNQ
African Development Fund (AFDF),Equatorial Guinea,1992,20578127,GNQ
African Development Fund (AFDF),Equatorial Guinea,1993,24637841,GNQ
African Development Fund (AFDF),Equatorial Guinea,1998,4793521,GNQ
African Development Fund (AFDF),Eritrea,1996,28076476,ERI
African Development Fund (AFDF),Eritrea,1997,45783867,ERI
African Development Fund (AFDF),Eritrea,1998,2310391,ERI
African Development Fund (AFDF),Eritrea,2000,3922197,ERI
African Development Fund (AFDF),Eritrea,2001,40647036,ERI
African Development Fund (AFDF),Eritrea,2004,36140336,ERI
African Development Fund (AFDF),Eritrea,2010,21163854,ERI
African Development Fund (AFDF),Ethiopia,1990,7041195,ETH
African Development Fund (AFDF),Ethiopia,1991,26421207,ETH
African Development Fund (AFDF),Ethiopia,1992,309062886,ETH
African Development Fund (AFDF),Ethiopia,1993,148629307,ETH
African Development Fund (AFDF),Ethiopia,1996,39022899,ETH
African Development Fund (AFDF),Ethiopia,1997,57000811,ETH
African Development Fund (AFDF),Ethiopia,1998,239395358,ETH
African Development Fund (AFDF),Ethiopia,2000,7641172,ETH
African Development Fund (AFDF),Ethiopia,2001,379467653,ETH
African Development Fund (AFDF),Ethiopia,2002,263660620,ETH
African Development Fund (AFDF),Ethiopia,2003,207373252,ETH
African Development Fund (AFDF),Ethiopia,2004,405342091,ETH
African Development Fund (AFDF),Ethiopia,2005,75718079,ETH
African Development Fund (AFDF),Ethiopia,2006,412371804,ETH
African Development Fund (AFDF),Ethiopia,2007,573746,ETH
African Development Fund (AFDF),Ethiopia,2008,181651594,ETH
African Development Fund (AFDF),Ethiopia,2010,368070588,ETH
African Development Fund (AFDF),Ethiopia,2012,723247268,ETH
African Development Fund (AFDF),Ethiopia,2013,170424223,ETH
African Development Fund (AFDF),Gabon,1990,3973744,GAB
African Development Fund (AFDF),Gabon,1992,3662906,GAB
African Development Fund (AFDF),Gambia,1990,22331975,GMB
African Development Fund (AFDF),Gambia,1991,6774669,GMB
African Development Fund (AFDF),Gambia,1992,28500706,GMB
African Development Fund (AFDF),Gambia,1993,36671748,GMB
African Development Fund (AFDF),Gambia,1996,8004697,GMB
African Development Fund (AFDF),Gambia,1997,22454248,GMB
African Development Fund (AFDF),Gambia,1998,1641025,GMB
African Development Fund (AFDF),Gambia,1999,11681989,GMB
African Development Fund (AFDF),Gambia,2000,19590665,GMB
African Development Fund (AFDF),Gambia,2001,48327079,GMB
African Development Fund (AFDF),Gambia,2002,25383079,GMB
African Development Fund (AFDF),Gambia,2005,9549402,GMB
African Development Fund (AFDF),Gambia,2006,14300466,GMB
African Development Fund (AFDF),Gambia,2007,2434072,GMB
African Development Fund (AFDF),Gambia,2008,23152321,GMB
African Development Fund (AFDF),Gambia,2009,6752352,GMB
African Development Fund (AFDF),Gambia,2012,104152866,GMB
African Development Fund (AFDF),Gambia,2013,911276,GMB
African Development Fund (AFDF),Ghana,1990,103898293,GHA
African Development Fund (AFDF),Ghana,1991,118466372,GHA
