donor,recipient,year,aid_amount
African Development Bank (AFDB),Zimbabwe,1991,282277861
African Development Bank (AFDB),Zimbabwe,1993,157285275
African Development Bank (AFDB),Zimbabwe,1995,3478733
African Development Bank (AFDB),Zimbabwe,1997,157912605
African Development Bank (AFDB),Zimbabwe,1999,241951562
African Development Bank (AFDB),Zimbabwe,2000,751924
African Development Bank (AFDB),Zimbabwe,2009,2177633
African Development Bank (AFDB),Zimbabwe,2010,1066396
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",1990,38064282
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",1991,78337752
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",1992,93218915
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",1993,16002984
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",2000,129208968
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",2001,32783162
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",2002,40510799
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",2003,263077886
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",2004,422316216
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",2005,148935952
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",2006,621319482
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",2007,245250140
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",2008,901883652
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",2009,959188507
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",2010,304480591
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",2012,1636881874
African Development Fund (AFDF),"Africa, Regional Programs, Regional Programs",2013,278261532
African Development Fund (AFDF),"Africa, South of Sahara, Regional Programs",2008,875230
African Development Fund (AFDF),Algeria,1992,3230766
African Development Fund (AFDF),Algeria,1993,1456736
African Development Fund (AFDF),Angola,1990,92465065
African Development Fund (AFDF),Angola,1991,13888071
African Development Fund (AFDF),Angola,1992,31463956
African Development Fund (AFDF),Angola,2001,19669897
African Development Fund (AFDF),Angola,2002,28723518
African Development Fund (AFDF),Angola,2003,9409429
African Development Fund (AFDF),Angola,2005,29863585
African Development Fund (AFDF),Angola,2007,31121349
African Development Fund (AFDF),Angola,2009,20257057
African Development Fund (AFDF),Angola,2013,29878018
African Development Fund (AFDF),Benin,1990,76291232
African Development Fund (AFDF),Benin,1991,63004418
African Development Fund (AFDF),Benin,1992,34777034
African Development Fund (AFDF),Benin,1993,17016367
African Development Fund (AFDF),Benin,1996,24014092
African Development Fund (AFDF),Benin,1997,36215872
African Development Fund (AFDF),Benin,1999,25369558
African Development Fund (AFDF),Benin,2000,127908342
African Development Fund (AFDF),Benin,2001,70570607
African Development Fund (AFDF),Benin,2002,41085269
African Development Fund (AFDF),Benin,2003,97142704
African Development Fund (AFDF),Benin,2004,41203474
African Development Fund (AFDF),Benin,2005,103307170
African Development Fund (AFDF),Benin,2006,26813373
African Development Fund (AFDF),Benin,2008,41284453
African Development Fund (AFDF),Benin,2009,37137937
African Development Fund (AFDF),Benin,2010,55255705
African Development Fund (AFDF),Benin,2012,46958010
African Development Fund (AFDF),Benin,2013,663291
African Development Fund (AFDF),Botswana,1990,16429455
African Development Fund (AFDF),Botswana,1991,25969563
African Development Fund (AFDF),Burkina Faso,1990,7227101
African Development Fund (AFDF),Burkina Faso,1991,119211586
African Development Fund (AFDF),Burkina Faso,1992,23664846
African Development Fund (AFDF),Burkina Faso,1993,40007463
African Development Fund (AFDF),Burkina Faso,1997,66690950
African Development Fund (AFDF),Burkina Faso,1998,33813758
African Development Fund (AFDF),Burkina Faso,1999,20676086
African Development Fund (AFDF),Burkina Faso,2000,158533998
African Development Fund (AFDF),Burkina Faso,2001,123922394
African Development Fund (AFDF),Burkina Faso,2002,115574926
African Development Fund (AFDF),Burkina Faso,2003,160549657
African Development Fund (AFDF),Burkina Faso,2004,76839437
African Development Fund (AFDF),Burkina Faso,2005,98063680
African Development Fund (AFDF),Burkina Faso,2006,4397393
African Development Fund (AFDF),Burkina Faso,2007,52158686
African Development Fund (AFDF),Burkina Faso,2008,75121191
African Development Fund (AFDF),Burkina Faso,2009,104661459
African Development Fund (AFDF),Burkina Faso,2010,57667400
African Development Fund (AFDF),Burkina Faso,2012,33700198
African Development Fund (AFDF),Burkina Faso,2013,49328608
African Development Fund (AFDF),Burundi,1990,73339971
African Development Fund (AFDF),Burundi,1991,41777123
African Development Fund (AFDF),Burundi,1992,46506566
African Development Fund (AFDF),Burundi,1993,39078531
African Development Fund (AFDF),Burundi,1998,18547904
African Development Fund (AFDF),Burundi,2004,54627581
African Development Fund (AFDF),Burundi,2005,291760284
African Development Fund (AFDF),Burundi,2006,29137199
African Development Fund (AFDF),Burundi,2007,12726719
African Development Fund (AFDF),Burundi,2008,19816538
African Development Fund (AFDF),Burundi,2009,289270767
African Development Fund (AFDF),Burundi,2010,55944761
African Development Fund (AFDF),Burundi,2012,84524418
African Development Fund (AFDF),Burundi,2013,17970321
African Development Fund (AFDF),Cameroon,1990,7366531
African Development Fund (AFDF),Cameroon,1991,1242023
African Development Fund (AFDF),Cameroon,1997,59850851
African Development Fund (AFDF),Cameroon,1999,45384009
African Development Fund (AFDF),Cameroon,2000,59706818
African Development Fund (AFDF),Cameroon,2001,108521456
African Development Fund (AFDF),Cameroon,2002,851067
African Development Fund (AFDF),Cameroon,2003,94500747
African Development Fund (AFDF),Cameroon,2004,23530986
African Development Fund (AFDF),Cameroon,2005,44448127
African Development Fund (AFDF),Cameroon,2006,141896371
African Development Fund (AFDF),Cameroon,2009,73195498
African Development Fund (AFDF),Cameroon,2010,79799213
African Development Fund (AFDF),Cameroon,2012,70327446
African Development Fund (AFDF),Cameroon,2013,122664206
African Development Fund (AFDF),Cape Verde,1990,58769577
African Development Fund (AFDF),Cape Verde,1991,34618556
African Development Fund (AFDF),Cape Verde,1993,14630697
African Development Fund (AFDF),Cape Verde,1997,17242745
African Development Fund (AFDF),Cape Verde,1998,6477731
African Development Fund (AFDF),Cape Verde,1999,268789
African Development Fund (AFDF),Cape Verde,2000,11664981
African Development Fund (AFDF),Cape Verde,2002,18000071
African Development Fund (AFDF),Cape Verde,2004,6789650
African Development Fund (AFDF),Cape Verde,2006,7400491
African Development Fund (AFDF),Cape Verde,2007,8380162
African Development Fund (AFDF),Cape Verde,2008,8256891
African Development Fund (AFDF),Cape Verde,2010,11566292
African Development Fund (AFDF),Central African Republic,1991,40648012
African Development Fund (AFDF),Central African Republic,1992,20578127
African Development Fund (AFDF),Central African Republic,1993,1435624
African Development Fund (AFDF),Central African Republic,2006,33731223
African Development Fund (AFDF),Central African Republic,2007,71457400
African Development Fund (AFDF),Central African Republic,2008,10733958
African Development Fund (AFDF),Central African Republic,2009,148264773
African Development Fund (AFDF),Central African Republic,2012,43627122
African Development Fund (AFDF),Central African Republic,2013,2013783
African Development Fund (AFDF),Chad,1990,24493134
African Development Fund (AFDF),Chad,1991,59617084
African Development Fund (AFDF),Chad,1993,60866235
African Development Fund (AFDF),Chad,1997,75770364
African Development Fund (AFDF),Chad,1999,43626542
African Development Fund (AFDF),Chad,2000,24386719
African Development Fund (AFDF),Chad,2001,127108796
African Development Fund (AFDF),Chad,2002,51638503
African Development Fund (AFDF),Chad,2003,4714876
African Development Fund (AFDF),Chad,2004,4655760
African Development Fund (AFDF),Chad,2005,64519235
African Development Fund (AFDF),Chad,2006,23238257
African Development Fund (AFDF),Chad,2009,53360463
African Development Fund (AFDF),Chad,2012,29129619
African Development Fund (AFDF),Chad,2013,4922454
African Development Fund (AFDF),Comoros,1991,95048601
African Development Fund (AFDF),Comoros,1992,2325328
African Development Fund (AFDF),Comoros,2007,27817966
African Development Fund (AFDF),Comoros,2009,29136399
African Development Fund (AFDF),Comoros,2010,38587119
African Development Fund (AFDF),Comoros,2013,22976199
African Development Fund (AFDF),"Congo, Democratic Republic of",1990,4113173
African Development Fund (AFDF),"Congo, Democratic Republic of",1991,15084929
African Development Fund (AFDF),"Congo, Democratic Republic of",2001,4023852
African Development Fund (AFDF),"Congo, Democratic Republic of",2002,167021939
African Development Fund (AFDF),"Congo, Democratic Republic of",2003,96533022
African Development Fund (AFDF),"Congo, Democratic Republic of",2004,262856440
African Development Fund (AFDF),"Congo, Democratic Republic of",2005,151835497
African Development Fund (AFDF),"Congo, Democratic Republic of",2007,211120974
African Development Fund (AFDF),"Congo, Democratic Republic of",2009,131248846
African Development Fund (AFDF),"Congo, Democratic Republic of",2010,115466049
African Development Fund (AFDF),"Congo, Democratic Republic of",2012,176890824
African Development Fund (AFDF),"Congo, Democratic Republic of",2013,7521785
African Development Fund (AFDF),"Congo, Republic of",1990,12130376
African Development Fund (AFDF),"Congo, Republic of",2003,1016137
African Development Fund (AFDF),"Congo, Republic of",2004,78177968
African Development Fund (AFDF),"Congo, Republic of",2006,34160237
African Development Fund (AFDF),"Congo, Republic of",2008,1651378
African Development Fund (AFDF),"Congo, Republic of",2010,8449135
African Development Fund (AFDF),"Congo, Republic of",2013,18294986
African Development Fund (AFDF),Cote d`Ivoire,1990,18590614
African Development Fund (AFDF),Cote d`Ivoire,1991,19194895
African Development Fund (AFDF),Cote d`Ivoire,1992,16462501
African Development Fund (AFDF),Cote d`Ivoire,1993,29556964
African Development Fund (AFDF),Cote d`Ivoire,1996,58034055
African Development Fund (AFDF),Cote d`Ivoire,1997,7002956
African Development Fund (AFDF),Cote d`Ivoire,1998,43184876
African Development Fund (AFDF),Cote d`Ivoire,1999,66101448
African Development Fund (AFDF),Cote d`Ivoire,2000,58243615
African Development Fund (AFDF),Cote d`Ivoire,2002,177192192
African Development Fund (AFDF),Cote d`Ivoire,2007,34772457
African Development Fund (AFDF),Cote d`Ivoire,2009,583234419
African Development Fund (AFDF),Cote d`Ivoire,2010,37734003
African Development Fund (AFDF),Cote d`Ivoire,2012,33809767
African Development Fund (AFDF),Cote d`Ivoire,2013,28134634
African Development Fund (AFDF),Djibouti,1990,5623661
African Development Fund (AFDF),Djibouti,1991,35137948
African Development Fund (AFDF),Djibouti,1992,18108752
African Development Fund (AFDF),Djibouti,1998,15222668
African Development Fund (AFDF),Djibouti,2000,894180
African Development Fund (AFDF),Djibouti,2001,6944720
African Development Fund (AFDF),Djibouti,2002,13659629
African Development Fund (AFDF),Djibouti,2004,9699500
African Development Fund (AFDF),Djibouti,2007,11301049
African Development Fund (AFDF),Djibouti,2008,9611021
African Development Fund (AFDF),Djibouti,2013,14431085
African Development Fund (AFDF),Egypt,1992,56384068
African Development Fund (AFDF),Egypt,1993,80563839
African Development Fund (AFDF),Egypt,1997,58466546
African Development Fund (AFDF),Egypt,1998,25910925
African Development Fund (AFDF),Egypt,1999,14473260
African Development Fund (AFDF),Equatorial Guinea,1990,1068960
African Development Fund (AFDF),Equatorial Guinea,1991,3635738
African Development Fund (AFDF),Equatorial Guinea,1992,20578127
African Development Fund (AFDF),Equatorial Guinea,1993,24637841
African Development Fund (AFDF),Equatorial Guinea,1998,4793521
African Development Fund (AFDF),Eritrea,1996,28076476
African Development Fund (AFDF),Eritrea,1997,45783867
African Development Fund (AFDF),Eritrea,1998,2310391
African Development Fund (AFDF),Eritrea,2000,3922197
African Development Fund (AFDF),Eritrea,2001,40647036
African Development Fund (AFDF),Eritrea,2004,36140336
African Development Fund (AFDF),Eritrea,2010,21163854
African Development Fund (AFDF),Ethiopia,1990,7041195
African Development Fund (AFDF),Ethiopia,1991,26421207
African Development Fund (AFDF),Ethiopia,1992,309062886
African Development Fund (AFDF),Ethiopia,1993,148629307
African Development Fund (AFDF),Ethiopia,1996,39022899
African Development Fund (AFDF),Ethiopia,1997,57000811
African Development Fund (AFDF),Ethiopia,1998,239395358
African Development Fund (AFDF),Ethiopia,2000,7641172
African Development Fund (AFDF),Ethiopia,2001,379467653
African Development Fund (AFDF),Ethiopia,2002,263660620
African Development Fund (AFDF),Ethiopia,2003,207373252
African Development Fund (AFDF),Ethiopia,2004,405342091
African Development Fund (AFDF),Ethiopia,2005,75718079
